Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,2020360,2,1010180.0,1010180.0,1009540,1010820,905.1,"dollama::k_h2f(const __half *, float *, long)"
0.0,1577275,880,1792.4,1696.0,1535,3552,490.4,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __half, float, __half, (bool)0, float, __half, __half, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.0,1436501,80,17956.3,17952.0,17600,18207,127.5,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_32x1_nn_align2>(T1::Params)
0.0,1389793,1400,992.7,960.0,896,1600,86.8,"dollama::group_norm_mb_finalize(const float *, float *, int, int, float)"
0.0,682795,8,85349.4,85069.5,84701,86302,633.8,nvjet_sm120_hsh_mma_128x160x64_2_64x40x64_tmaAB_alignCD4_bz_TNNN
0.0,253239,520,487.0,480.0,448,672,36.1,"dollama::timestep_embedding_fp16(__half *, float, int, float)"
0.0,205245,8,25655.6,25551.5,25376,26047,270.5,"dollama::k_add_bias_sc(__half *, const __half *, int, int)"
0.0,107775,32,3368.0,2496.0,1151,8288,1859.2,"dollama::weight_h2f(const __half *, float *, long)"
0.0,47486,2,23743.0,23743.0,23519,23967,316.8,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_f16_256x128_32x3_nn_align2>(T1::Params)
0.0,16896,2,8448.0,8448.0,8384,8512,90.5,"dollama::k_f2h(const float *, __half *, long)"
0.0,2208,2,1104.0,1104.0,1056,1152,67.9,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)0, float, float, float, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
